Execution ID, Initial memory usage, Data memory usage, Computing memory usage, Final memory usage
bdd287f9-395b-48b5-bf8a-a4e3cabf26a2, 10992, 320864, 189640, 510504
31d6bf4c-8eb1-47f8-975f-a757efda80f6, 11056, 339644, 191264, 530908
6191c52b-78ab-4883-9e2e-c9c2f04adef2, 10984, 339876, 190828, 530704
9ae01883-8b21-4939-a428-9d0b55e5e2b5, 10968, 337868, 189960, 527828
8bf07cfd-a94e-41ae-8ef6-62bc0e636bc6, 10900, 333716, 188568, 522284
53689f9c-7f6a-4c6c-8487-c7f69097b3b7, 10908, 341844, 191188, 533032
0288e1d8-70c9-41b2-83c6-791ace1cb415, 10644, 271876, 299296, 571172
1de516d0-81d8-413f-aaa7-e8bd073a21ac, 10848, 269028, 297736, 566764
c62452de-9d64-483f-b5c2-0db722e60993, 10984, 273868, 299968, 573836
131426b7-e6c6-4672-b7c2-077f567c792f, 10812, 279632, 297672, 577304
04cd10cb-fb86-488d-971a-684742f29b96, 10740, 280752, 299496, 580248
a6903ad7-4b25-4b73-af19-ab8060661f4a, 10856, 289868, 312932, 602800
524f7d4a-7aab-4ad0-a155-f4158ca17fcf, 10944, 282880, 312640, 595520
dd684f30-9851-4d2b-ae70-97020c413ab9, 10740, 291100, 314612, 605712
7aa7103a-f3a0-4f9a-b7ef-0d57fa50cb9d, 10804, 295928, 313044, 608972
65c20fef-f1c0-44e6-bb87-9510a0f062f1, 10724, 295152, 316584, 611736
173c4813-d057-4234-b684-c172bab4f7ee, 10632, 300708, 196168, 496876
bb860d5b-1586-475f-a921-7f3936357c96, 11268, 302896, 195240, 498136
cccfb27e-6f04-4c38-8733-30b19952226d, 10704, 307484, 192692, 500176
6d5f7918-a338-4252-8539-e2076e2446ec, 10820, 310940, 194352, 505292
ae4c659a-04aa-4487-9293-36e6e640b10a, 10972, 303376, 193304, 496680
d990ddbb-6418-49d6-a853-dfff5e491bf7, 10708, 322536, 197332, 519868
95ec935f-de9c-4ea5-99e1-effbc646cd4c, 10732, 323348, 195792, 519140
d0a95976-e4d6-401b-bfd7-ba62002fe0d7, 10732, 317768, 195652, 513420
17987cb9-5c08-4b56-aa49-6367d015f108, 10892, 321220, 197140, 518360
0b75f720-37ec-4968-b499-62164ab37d77, 10968, 312500, 195436, 507936
338f9f2d-679c-4382-aeac-684decfc8764, 10908, 342128, 200776, 542904
a134fff0-11c0-4b78-acde-f4abfed0dd93, 11060, 333708, 200788, 534496
6cc0fc8c-9035-4a8f-8e98-e2084897c9f5, 11096, 332212, 199664, 531876
93f4e68a-6b55-4ce5-84f9-e22c723ebab2, 10976, 336316, 201372, 537688
1da549d2-fe3c-440b-b6dd-a4c6b5b913f4, 10984, 338172, 199528, 537700
0e3e26d0-a582-4818-a24f-ce6e87e05b3a, 10812, 280324, 214740, 495064
d5c5b67c-0351-4198-b7e4-367f062da8fe, 10996, 274208, 213160, 487368
0d149e9b-0b3a-45da-b72f-c98dcccc56f1, 11068, 275500, 212448, 487948
8918d93a-54eb-4d7d-96b0-51dc6ee4f535, 10856, 272216, 212900, 485116
7d4425df-2126-49ed-b0eb-658fb9c5f584, 10736, 277268, 212496, 489764
8043ad18-eba3-4158-9b13-7532522a13c8, 10956, 290652, 181988, 472640
2f9838ed-baef-4c60-80ec-0c0edba2b1c4, 10964, 293392, 181352, 474744
18e4ff8e-48a9-41ab-9a68-e2b0546d236f, 11148, 292100, 181720, 473820
8da96c4e-c3c9-443b-a39e-906082f6e5dc, 10980, 290724, 183308, 474032
016c2880-2fc9-417f-acb4-0f54271af278, 10884, 284988, 181284, 466272
121b4378-c6c8-4192-b3c5-80871575878f, 10776, 309548, 181992, 491540
6e154380-cab6-4839-9146-e82111f4a2f5, 10728, 308860, 181944, 490804
a77009ee-ce1c-405b-a41e-bdd159bae50a, 10708, 306964, 181192, 488156
82a58026-b659-46e2-a880-3c12602340c4, 10812, 303932, 181148, 485080
169edf3d-9a90-48f4-8fcb-9b59e6569cb3, 10956, 303048, 181336, 484384
d273bd5a-cc68-476f-96d3-77239b0c8692, 11008, 322192, 182352, 504544
b272460a-694f-4367-b538-0e656edb1fd5, 11076, 320068, 184420, 504488
9a7fb744-e143-46a0-9cc7-126b35740214, 11136, 327412, 183976, 511388
398b24cd-a5a1-430c-88b8-20ce7d582679, 10724, 324696, 181784, 506480
f0e65a3e-a9e6-4dd6-8547-4f79b53f179b, 10864, 323644, 181668, 505312
1c949816-b228-402e-b2c4-3013c5e34761, 10804, 336636, 181696, 518332
0f4f511b-1195-44b3-b243-984d1097e8e2, 11152, 335824, 182384, 518208
b9921e79-2da1-47a0-aff5-2125ae6bc32f, 10808, 338212, 183408, 521620
eb1e73ec-b01a-41bb-8786-d8e275bcc78c, 10724, 342076, 181368, 523444
7d3c9df9-aeda-4744-81c1-3e7d2f4104c6, 10940, 341036, 182076, 523112
9d16238c-e8aa-4c2c-9361-a4190a20bcd2, 10972, 278348, 314812, 593160
faa77de4-6187-4a50-be5b-0308881ec1b7, 10860, 273476, 317556, 591032
1706c182-03f1-4642-b7d4-6523a5d3c996, 10868, 281380, 332408, 613788
2bcf8104-bf8b-4f6b-af80-1777f35289e8, 10972, 273676, 315488, 589164
8bfe8754-c0a8-4ede-87e9-96e884924a95, 11004, 268412, 333448, 601860
ed078cb3-8194-4c92-8b81-fac4fb834a3a, 10740, 296280, 316704, 612984
61a0f16c-7147-41fc-a2de-4a76bb76c83d, 10892, 290752, 318860, 609612
192da57e-c430-4dc0-80a3-69dca0a209c1, 10688, 294168, 378200, 672368
25a86eaf-bb91-4aa2-ac69-f7ca6afe82df, 10712, 283788, 317360, 601148
a733f0bb-24ef-4dc3-9dad-e9f116ecc210, 11044, 288276, 316524, 604800
48868058-0e29-4944-894d-c1348a538f9c, 10896, 302936, 198064, 501000
e92a9d65-b0b2-4b28-a699-6d69f90a23be, 10724, 304704, 196576, 501280
c63e83e4-5504-4a46-b5ab-392ea43e1a72, 10888, 302136, 196092, 498228
b5b5c429-b2fa-4288-a215-d9dcf8c0747c, 10872, 304736, 197692, 502428
a6ea7617-71f9-4d56-932e-a336d70587cf, 10760, 310900, 197364, 508264
35e5ee0c-cfe3-4c09-9663-121339e388bd, 11024, 325964, 201196, 527160
7afa89fd-5360-4502-96b2-92e482ce2d41, 11044, 325472, 202392, 527864
c7487ab2-700d-4155-87e0-c04c7973b440, 10836, 319976, 204476, 524452
c1af9cb5-ff75-40e8-9a27-f9f3080ec679, 10740, 322368, 202644, 525012
4c67e2e1-8d5f-45c9-b383-71695bb159a6, 10724, 325300, 202520, 527820
55d2bd8a-58fc-44e9-81fd-8d5299b53350, 10704, 341692, 202636, 544328
6e1607e3-c2cf-4752-bc6a-18042fdc4f80, 10844, 339764, 204460, 544224
